Intensity,Wavelength (nm),Element
450,934.326772,Th 
26,934.66576,Th 
38,934.6771,Th 
21400,935.678655,Ar 
30,936.35544,Th
790,938.584618,Th 
232,939.15064,Th 
155,939.31612,Th 
13,939.48406,Th 
9400,940.16674,Th 
304,941.193,Th 
74,941.6671,Th 
24,942.00406,Th 
26,942.30635,Ar
30,942.32036,Th 
700,943.418658,Th 
33,943.48694,Th
56,943.94016,Th 
13,944.95816,Th 
29,945.30517,Th 
60,945.77958,Th 
18,946.12218,Th 
470,946.16564,Ar 
104,946.34647,Th 
2010,946.362287,Th 
207,946.38022,Th 
1020,946.979224,Th 
1300,947.327955,Th 
3780,947.747813,Th 
27,947.75203,Th 
129,948.09306,Ar 
68,948.48564,Th 
36,948.4891,Th 
109,948.95274,Th 
2990,949.810231,Th 
4000,949.979379,Th 
17,950.26612,Th 
116,950.29057,Th 
16,950.40446,Th 
720,950.799996,Th 
58,951.026,Th 
53,951.10608,Ar   
16,951.35552,Th 
24,953.90224,Th 
47,955.06491,Th 
109,955.36606,Ar   
56,955.66055,Th   
870,956.386735,Th 
18,956.81815,Th 
28,956.9904,Th 
51,957.04533,Th 
20,957.41278,Th 
36,957.99731,Th
193,958.54414,Th 
23,958.57075,Th
49,958.96567,Th 
25,959.29729,Th 
93,959.80224,Th 
37,960.45654,Ar
77,961.11217,Th 
38,961.1571,Th 
29,961.62922,Th   
103,961.63278,Th
24,962.18546,Th 
69,962.3634,Th   
85,962.78381,Th 
24,963.03112,Th 
840,963.220992,Th 
25,963.33859,Th 
1480,963.528533,Th 
44,964.51213,Th
45,964.5964,Th 
44,965.909,Th 
183300,966.043489,Ar 
35,966.62936,Th 
1660,966.734842,Th 
24,966.90321,Th 
72,967.74442,Th 
43,967.87566,Th 
82,967.94902,Th 
10,968.08806,Th 
23,968.83311,Th   
52,969.7689,Th 
2660,970.322299,Th 
58,970.32712,Th 
10,970.42386,Th 
117,970.49327,Th 
37,971.88062,Th 
39,972.1157,Th 
21,973.88807,Th 
24,974.12929,Th 
193,974.62331,Th 
5300,974.913518,Th 
48,975.62665,Th 
38,975.88194,Ar
25,975.98948,Th 
65,976.1312,Ar
13,976.72828,Th 
27,977.22128,Th 
56,977.62468,Ar
22,978.21343,Th 
27,978.57642,Ar
60500,978.718601,Ar 
19,978.80357,Th 
48,979.21955,Th 
420,979.888603,Th 
25,979.99312,Th 
21,980.30501,Th 
17,980.43953,Th 
58,980.63821,Ar
2060,981.53879,Th 
17,981.58394,Th 
48,981.71106,Ar
21,981.76477,Th 
31,982.18694,Th 
4600,982.914356,Th 
11,983.33956,Th 
25,983.43648,Th 
5800,983.611902,Th 
28,983.67036,Th
14,984.07019,Th 
11,984.36167,Th 
25,984.83834,Th 
70,985.21601,Ar
61,985.6766,Ar
